message;severity;node;stamp;location
"got segment right_fr3_link2";"20";"robot_state_publisher";"1747478412.852798152";"./src/robot_state_publisher.cpp:setupURDF:201"
"got segment right_fr3_link3";"20";"robot_state_publisher";"1747478412.852800652";"./src/robot_state_publisher.cpp:setupURDF:201"
"got segment right_fr3_link4";"20";"robot_state_publisher";"1747478412.852803027";"./src/robot_state_publisher.cpp:setupURDF:201"
"got segment right_fr3_link5";"20";"robot_state_publisher";"1747478412.852806235";"./src/robot_state_publisher.cpp:setupURDF:201"
"got segment right_fr3_link6";"20";"robot_state_publisher";"1747478412.852808568";"./src/robot_state_publisher.cpp:setupURDF:201"
"got segment right_fr3_link7";"20";"robot_state_publisher";"1747478412.852810943";"./src/robot_state_publisher.cpp:setupURDF:201"
"got segment right_fr3_link8";"20";"robot_state_publisher";"1747478412.852819610";"./src/robot_state_publisher.cpp:setupURDF:201"
"got segment right_fr3_rightfinger";"20";"robot_state_publisher";"1747478412.852828526";"./src/robot_state_publisher.cpp:setupURDF:201"
"[Deprecated]: \"allow_nonzero_velocity_at_trajectory_end\" is set to true. The default behavior will change to false.";"30";"panda2_gripper_controller";"1747478417.680349415";"./src/joint_trajectory_controller.cpp:on_init:67"
"No specific joint names are used for command interfaces. Using 'joints' parameter.";"20";"panda2_gripper_controller";"1747478417.812358679";"./src/joint_trajectory_controller.cpp:on_configure:693"
"Command interfaces are [position] and state interfaces are [position velocity].";"20";"panda2_gripper_controller";"1747478417.812382553";"./src/joint_trajectory_controller.cpp:on_configure:814"
"Using 'splines' interpolation method.";"20";"panda2_gripper_controller";"1747478417.812401803";"./src/joint_trajectory_controller.cpp:on_configure:825"
"Controller state will be published at 50.00 Hz.";"20";"panda2_gripper_controller";"1747478417.815835365";"./src/joint_trajectory_controller.cpp:on_configure:839"
"Action status changes will be monitored at 20.00 Hz.";"20";"panda2_gripper_controller";"1747478417.823476226";"./src/joint_trajectory_controller.cpp:on_configure:919"
"[Deprecated]: \"allow_nonzero_velocity_at_trajectory_end\" is set to true. The default behavior will change to false.";"30";"panda2_arm_controller";"1747478417.403075797";"./src/joint_trajectory_controller.cpp:on_init:67"
"No specific joint names are used for command interfaces. Using 'joints' parameter.";"20";"panda2_arm_controller";"1747478417.542120724";"./src/joint_trajectory_controller.cpp:on_configure:693"
"Command interfaces are [position] and state interfaces are [position velocity].";"20";"panda2_arm_controller";"1747478417.542167390";"./src/joint_trajectory_controller.cpp:on_configure:814"
"Using 'splines' interpolation method.";"20";"panda2_arm_controller";"1747478417.542181806";"./src/joint_trajectory_controller.cpp:on_configure:825"
"Controller state will be published at 50.00 Hz.";"20";"panda2_arm_controller";"1747478417.551764840";"./src/joint_trajectory_controller.cpp:on_configure:839"
"Action status changes will be monitored at 20.00 Hz.";"20";"panda2_arm_controller";"1747478417.568645491";"./src/joint_trajectory_controller.cpp:on_configure:919"
"[Deprecated]: \"allow_nonzero_velocity_at_trajectory_end\" is set to true. The default behavior will change to false.";"30";"panda1_gripper_controller";"1747478417.102898054";"./src/joint_trajectory_controller.cpp:on_init:67"
"No specific joint names are used for command interfaces. Using 'joints' parameter.";"20";"panda1_gripper_controller";"1747478417.410428247";"./src/joint_trajectory_controller.cpp:on_configure:693"
"Command interfaces are [position] and state interfaces are [position velocity].";"20";"panda1_gripper_controller";"1747478417.410490037";"./src/joint_trajectory_controller.cpp:on_configure:814"
"Using 'splines' interpolation method.";"20";"panda1_gripper_controller";"1747478417.410514412";"./src/joint_trajectory_controller.cpp:on_configure:825"
"Controller state will be published at 50.00 Hz.";"20";"panda1_gripper_controller";"1747478417.426742200";"./src/joint_trajectory_controller.cpp:on_configure:839"
"Action status changes will be monitored at 20.00 Hz.";"20";"panda1_gripper_controller";"1747478417.449695907";"./src/joint_trajectory_controller.cpp:on_configure:919"
"[Deprecated]: \"allow_nonzero_velocity_at_trajectory_end\" is set to true. The default behavior will change to false.";"30";"panda1_arm_controller";"1747478417.792583330";"./src/joint_trajectory_controller.cpp:on_init:67"
"No specific joint names are used for command interfaces. Using 'joints' parameter.";"20";"panda1_arm_controller";"1747478417.868501698";"./src/joint_trajectory_controller.cpp:on_configure:693"
"Command interfaces are [position] and state interfaces are [position velocity].";"20";"panda1_arm_controller";"1747478417.868526031";"./src/joint_trajectory_controller.cpp:on_configure:814"
"Using 'splines' interpolation method.";"20";"panda1_arm_controller";"1747478417.868545614";"./src/joint_trajectory_controller.cpp:on_configure:825"
"Controller state will be published at 50.00 Hz.";"20";"panda1_arm_controller";"1747478417.871685765";"./src/joint_trajectory_controller.cpp:on_configure:839"
"Action status changes will be monitored at 20.00 Hz.";"20";"panda1_arm_controller";"1747478417.882355362";"./src/joint_trajectory_controller.cpp:on_configure:919"
"Waiting for robot_description to be published on the robot_description topic...";"20";"joint_state_publisher";"1747478413.824063158";"/opt/ros/humble/lib/python3.10/site-packages/joint_state_publisher/joint_state_publisher.py:__init__:308"
"Centering";"20";"joint_state_publisher";"1747478413.833502488";"/opt/ros/humble/lib/python3.10/site-packages/joint_state_publisher_gui/joint_state_publisher_gui.py:centerEvent:242"
"Centering";"20";"joint_state_publisher";"1747478414.876297464";"/opt/ros/humble/lib/python3.10/site-packages/joint_state_publisher_gui/joint_state_publisher_gui.py:centerEvent:242"
"'joints' or 'interfaces' parameter is empty. All available state interfaces will be published";"20";"joint_state_broadcaster";"1747478414.010764779";"./src/joint_state_broadcaster.cpp:on_configure:108"
"Connected on namespace: /rviz_moveit_motion_planning_display/robot_interaction_interactive_marker_topic";"20";"interactive_marker_display_199812553958592";"1747478419.841136753";"./src/interactive_marker_client.cpp:updateStatus:406"
"Sending request for interactive markers";"20";"interactive_marker_display_199812553958592";"1747478420.120586064";"./src/interactive_marker_client.cpp:updateStatus:406"
"Service response received for initialization";"20";"interactive_marker_display_199812553958592";"1747478420.258187757";"./src/interactive_marker_client.cpp:updateStatus:406"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478330.927108493";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478330.928350558";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478330.948895334";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478330.981643720";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478331.015637129";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478331.048272390";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478331.081820054";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478331.114640729";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478331.147863897";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478331.181307771";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478331.215846379";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478331.248000980";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478331.281222483";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478331.314512275";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478331.347820110";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478331.382206094";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478331.414616359";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478331.447881944";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478331.481211653";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478331.514416738";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478331.548585226";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478331.582559759";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478331.615154104";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478331.647784198";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478331.682209641";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478331.714507865";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478331.748458940";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478331.781647568";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478331.815150482";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478331.848483358";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478331.881599528";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478331.914662533";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478331.948175322";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478331.981287993";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478332.015047445";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478332.047754078";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478332.082044854";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478332.114504908";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478332.148749226";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478332.181757772";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478332.214589903";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478332.247841736";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478332.281252317";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478332.315163141";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478332.347754067";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478332.381171273";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478332.414375732";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478332.447783897";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478332.482857911";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478332.514654891";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478332.547920808";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478332.581210974";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478332.614514432";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478332.648055261";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478332.681207929";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478332.714436054";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478332.747755595";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478332.781215342";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478332.814451551";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478332.848166544";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478332.881691498";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478332.914682877";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478332.949356189";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478332.981377708";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478333.014488876";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478333.047831331";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478333.081294368";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478333.115040275";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478333.147755324";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478333.182181888";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478333.214405901";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478333.248578261";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478333.281267976";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478333.315208214";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478333.348539670";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478333.381166761";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478333.415501618";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478333.450180511";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478333.481602079";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478333.515135948";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478333.548208657";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478333.581865483";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478333.614847652";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478333.649359340";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478333.681225442";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478333.714457108";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478333.748324680";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478333.781278183";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478333.815549666";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478333.848396629";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478333.881284091";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478333.914495548";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478333.947875961";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478333.981685743";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478334.015122738";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478334.048602731";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478334.081146613";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478334.114639315";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478334.147818938";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478334.181256140";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478334.214516220";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478334.248203168";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478334.281807785";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478334.314468540";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478334.347837452";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478334.381709481";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478334.415103392";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
"Failed to read frame from camera.";"30";"hand_tracking_node";"1747478334.448469970";"/home/dhruvil/teleop_ws/build/robot_bringup/robot_bringup/hand_tracking.py:process_frame:42"
